CID 139: bmp=dict(width=32,height=32,bitmapId=138), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 141: bmp=dict(width=32,height=32,bitmapId=140), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 143: bmp=dict(width=32,height=32,bitmapId=142), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 145: bmp=dict(width=32,height=32,bitmapId=144), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 205: bmp=dict(width=45,height=53,bitmapId=204), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 207: bmp=dict(width=45,height=53,bitmapId=206), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 209: bmp=dict(width=45,height=53,bitmapId=208), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 211: bmp=dict(width=45,height=53,bitmapId=210), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 213: bmp=dict(width=45,height=53,bitmapId=212), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 215: bmp=dict(width=45,height=53,bitmapId=214), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 217: bmp=dict(width=45,height=53,bitmapId=216), repeat='no-repeat', smooth=False  (should be: repeat=no-repeat, smooth=False (orig 0x43))
CID 248: bmp=dict(width=83,height=84,bitmapId=247), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 251: bmp=dict(width=86,height=87,bitmapId=250), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 253: bmp=dict(width=42,height=42,bitmapId=237), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 254: bmp=dict(width=60,height=61,bitmapId=240), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 255: bmp=dict(width=79,height=80,bitmapId=243), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 256: bmp=dict(width=83,height=84,bitmapId=246), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 257: bmp=dict(width=86,height=87,bitmapId=249), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 263: bmp=dict(width=86,height=87,bitmapId=250), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 1547: bmp=dict(width=186,height=92,bitmapId=1546), repeat='no-repeat', smooth=True  (should be: repeat=no-repeat, smooth=True (orig 0x41))
CID 1539: bmp=dict(width=80,height=80,bitmapId=1536), repeat='repeat', smooth=False  (should be: repeat=repeat, smooth=False (orig 0x42))
